ID,Name,Father_Name,Mother_Name,Address,College,CGPA,Sem1_GPA,Sem2_GPA,Attendance_%,Department,Subject1,Subject2,Subject3,MID1_Subject1,MID1_Subject2,MID1_Subject3
2300031176,Swathi Singh,Ramesh,Padma,Tamil Nadu,KL University,9.16,6.25,5.17,43,EEE,Power Systems,Control Systems,Electrical Machines,23,28,17
2300031177,Aarav Naidu,Mohan,Lakshmi,Tamil Nadu,KL University,5.87,5.73,8.78,70,AIDS,AIML,NLP,Data Communication,18,26,9
2300031178,Priya Rao,Mohan,Anitha,Karnataka,KL University,7.13,5.89,8.65,41,CSIT,Cloud Computing,Web Technologies,Cyber Security,15,9,25
2300031179,Karthik Singh,Rajesh,Lakshmi,West Bengal,KL University,5.66,5.79,8.94,69,AIDS,AIML,NLP,Data Communication,21,13,8
2300031180,Rahul Patel,Mohan,Sarita,Karnataka,KL University,5.64,5.03,9.21,40,ECE,Embedded Systems,Processors and Controllers,Digital Signals,10,9,16
2300031181,Ananya Iyer,Krishna,Anitha,Maharashtra,KL University,7.11,8.66,7.17,31,CSE,Operating Systems,DBMS,Java,8,28,5
2300031182,Karthik Iyer,Krishna,Sunitha,Karnataka,KL University,6.91,6.38,8.91,96,CSIT,Cloud Computing,Web Technologies,Cyber Security,30,28,20
2300031183,Ravi Singh,Srinivas,Lakshmi,West Bengal,KL University,8.19,6.68,8.34,36,CSIT,Cloud Computing,Web Technologies,Cyber Security,20,14,27
2300031184,Karthik Sharma,Krishna,Sunitha,Gujarat,KL University,7.34,5.32,6.76,96,CSE,Operating Systems,DBMS,Java,7,24,7
2300031185,Swathi Naidu,Srinivas,Sarita,Tamil Nadu,KL University,7.67,7.6,8.31,28,EEE,Power Systems,Control Systems,Electrical Machines,9,8,9
2300031186,Akhil Verma,Srinivas,Lakshmi,Rajasthan,KL University,8.72,6.05,9.33,23,CSE,Operating Systems,DBMS,Java,26,30,10
2300031187,Rohit Gupta,Ashok,Sita,Andhra Pradesh,KL University,7.99,5.45,8.1,23,EEE,Power Systems,Control Systems,Electrical Machines,20,24,25
2300031188,Kiran Gupta,Mohan,Anitha,Kerala,KL University,8.28,8.22,6.99,4,CSIT,Cloud Computing,Web Technologies,Cyber Security,27,17,9
2300031189,Pooja Gupta,Ashok,Kavitha,Delhi,KL University,8.07,8.79,8.4,80,CSIT,Cloud Computing,Web Technologies,Cyber Security,11,22,16
2300031190,Vijay Iyer,Mohan,Sunitha,Maharashtra,KL University,9.61,6.22,5.3,89,ECE,Embedded Systems,Processors and Controllers,Digital Signals,27,23,14
2300031191,Aarav Rao,Srinivas,Anitha,Telangana,KL University,7.33,8.58,6.14,31,CSE,Operating Systems,DBMS,Java,11,17,30
2300031192,Rohit Mehta,Venkatesh,Kavitha,West Bengal,KL University,6.73,7.12,6.09,3,AIDS,AIML,NLP,Data Communication,21,12,23
2300031193,Vijay Singh,Ramesh,Rekha,Kerala,KL University,7.64,5.57,6.28,22,CSIT,Cloud Computing,Web Technologies,Cyber Security,7,6,26
2300031194,Pooja Singh,Venkatesh,Kavitha,Maharashtra,KL University,6.39,8.91,7.16,60,ECE,Embedded Systems,Processors and Controllers,Digital Signals,7,11,11
2300031195,Swathi Sharma,Venkatesh,Padma,Kerala,KL University,7.22,5.95,9.36,79,CSIT,Cloud Computing,Web Technologies,Cyber Security,14,28,10
2300031196,Varun Reddy,Mohan,Sita,West Bengal,KL University,7.57,7.92,8.11,32,CSIT,Cloud Computing,Web Technologies,Cyber Security,29,11,28
2300031197,Kiran Mehta,Krishna,Rekha,Karnataka,KL University,5.61,8.72,7.9,18,CSIT,Cloud Computing,Web Technologies,Cyber Security,17,18,24
2300031198,Sneha Rao,Suresh,Kavitha,Rajasthan,KL University,6.54,6.53,5.14,40,CSIT,Cloud Computing,Web Technologies,Cyber Security,26,15,11
2300031199,Sanjith Patel,Anil,Sarita,Karnataka,KL University,8.55,9.31,5.87,33,CSE,Operating Systems,DBMS,Java,9,11,15
2300031200,Rohit Rao,Venkatesh,Sunitha,Kerala,KL University,7.79,8.43,6.63,94,AIDS,AIML,NLP,Data Communication,13,16,6
2300031201,Varun Sharma,Mohan,Padma,Kerala,KL University,7.04,5.32,7.38,5,CSE,Operating Systems,DBMS,Java,7,21,24
2300031202,Kiran Patel,Krishna,Lakshmi,Tamil Nadu,KL University,9.14,8.01,9.1,3,ECE,Embedded Systems,Processors and Controllers,Digital Signals,13,19,26
2300031203,Aarav Gupta,Prakash,Rekha,Kerala,KL University,5.95,7.96,6.31,35,ECE,Embedded Systems,Processors and Controllers,Digital Signals,14,11,14
2300031204,Deepika Rao,Krishna,Radha,Telangana,KL University,7.54,7.17,6.27,10,CSIT,Cloud Computing,Web Technologies,Cyber Security,9,18,20
2300031205,Sneha Sharma,Krishna,Anitha,Kerala,KL University,9.73,9.12,7.18,34,AIDS,AIML,NLP,Data Communication,12,27,12
2300031206,Rahul Verma,Ashok,Sita,Rajasthan,KL University,6.93,5.41,8.28,75,ECE,Embedded Systems,Processors and Controllers,Digital Signals,13,6,30
2300031207,Swathi Naidu,Suresh,Kavitha,Rajasthan,KL University,8.37,5.44,9.2,19,AIDS,AIML,NLP,Data Communication,7,27,17
2300031208,Karthik Reddy,Srinivas,Sita,Kerala,KL University,8.87,5.13,6.87,69,CSIT,Cloud Computing,Web Technologies,Cyber Security,5,13,28
2300031209,Pooja Sharma,Prakash,Sita,West Bengal,KL University,9.75,6.44,8.69,17,ECE,Embedded Systems,Processors and Controllers,Digital Signals,18,18,28
2300031210,Deepika Rao,Anil,Sunitha,Telangana,KL University,6.64,6.64,8.17,20,ECE,Embedded Systems,Processors and Controllers,Digital Signals,14,30,24
2300031211,Karthik Mehta,Krishna,Sita,Andhra Pradesh,KL University,6.61,7.89,8.15,80,CSIT,Cloud Computing,Web Technologies,Cyber Security,27,29,18
2300031212,Rahul Sharma,Prakash,Radha,Maharashtra,KL University,7.63,6.91,5.65,78,ECE,Embedded Systems,Processors and Controllers,Digital Signals,16,6,20
2300031213,Kiran Iyer,Ashok,Rekha,Gujarat,KL University,6.43,9.45,5.62,30,AIDS,AIML,NLP,Data Communication,29,21,21
2300031214,Suresh Rao,Ashok,Radha,Andhra Pradesh,KL University,8.52,8.34,5.71,80,AIDS,AIML,NLP,Data Communication,9,26,5
2300031215,Rohit Iyer,Venkatesh,Lakshmi,Maharashtra,KL University,8.46,6.94,7.15,83,CSIT,Cloud Computing,Web Technologies,Cyber Security,18,23,9
2300031216,Akhil Reddy,Rajesh,Geetha,Gujarat,KL University,9.72,9.45,9.32,92,CSE,Operating Systems,DBMS,Java,26,24,7
2300031217,Swathi Naidu,Prakash,Sarita,Andhra Pradesh,KL University,9.17,5.59,8.01,36,ECE,Embedded Systems,Processors and Controllers,Digital Signals,22,30,9
2300031218,Mahesh Reddy,Ashok,Sarita,Telangana,KL University,9.35,7.64,8.87,9,AIDS,AIML,NLP,Data Communication,22,5,19
2300031219,Suresh Naidu,Ashok,Radha,Telangana,KL University,5.67,8.09,5.41,26,CSE,Operating Systems,DBMS,Java,18,16,28
2300031220,Sneha Mehta,Mohan,Lakshmi,Telangana,KL University,5.75,5.49,7.09,1,ECE,Embedded Systems,Processors and Controllers,Digital Signals,29,13,24
2300031221,Nikhil Verma,Mohan,Lakshmi,Gujarat,KL University,9.17,6.14,6.62,4,CSE,Operating Systems,DBMS,Java,9,19,26
2300031222,Ananya Iyer,Mohan,Lakshmi,Telangana,KL University,9.41,6.8,7.37,43,EEE,Power Systems,Control Systems,Electrical Machines,13,14,10
2300031223,Suresh Singh,Anil,Lakshmi,Karnataka,KL University,7.39,6.88,5.65,13,CSE,Operating Systems,DBMS,Java,6,28,6
2300031224,Pooja Rao,Venkatesh,Rekha,Delhi,KL University,6.51,8.71,9.19,24,ECE,Embedded Systems,Processors and Controllers,Digital Signals,17,6,7
2300031225,Rohit Mehta,Srinivas,Anitha,Maharashtra,KL University,6.57,5.96,8.98,90,ECE,Embedded Systems,Processors and Controllers,Digital Signals,22,7,8
2300031226,Rahul Patel,Mohan,Geetha,Maharashtra,KL University,5.76,5.47,7.58,82,ECE,Embedded Systems,Processors and Controllers,Digital Signals,13,13,16
2300031227,Vijay Verma,Venkatesh,Sarita,Andhra Pradesh,KL University,6.75,9.22,6.47,77,AIDS,AIML,NLP,Data Communication,23,25,6
2300031228,Manoj Verma,Ramesh,Padma,Kerala,KL University,7.39,5.09,5.06,76,CSE,Operating Systems,DBMS,Java,9,29,6
2300031229,Rahul Mehta,Krishna,Padma,Rajasthan,KL University,6.41,7.36,6.26,98,CSE,Operating Systems,DBMS,Java,28,14,7
2300031230,Sneha Iyer,Venkatesh,Padma,Karnataka,KL University,9.44,9.07,8.17,26,AIDS,AIML,NLP,Data Communication,10,25,11
2300031231,Ravi Sharma,Rajesh,Padma,Telangana,KL University,6.39,8.45,9.0,27,AIDS,AIML,NLP,Data Communication,15,21,28
2300031232,Suresh Sharma,Mohan,Radha,West Bengal,KL University,6.9,7.03,5.57,9,CSIT,Cloud Computing,Web Technologies,Cyber Security,21,9,24
2300031233,Sanjith Patel,Rajesh,Anitha,Tamil Nadu,KL University,9.03,5.35,6.19,0,EEE,Power Systems,Control Systems,Electrical Machines,7,28,15
2300031234,Aarav Mehta,Prakash,Anitha,Tamil Nadu,KL University,6.64,8.05,8.86,37,CSIT,Cloud Computing,Web Technologies,Cyber Security,8,21,8
2300031235,Swathi Mehta,Venkatesh,Sunitha,Gujarat,KL University,5.75,8.61,8.11,10,EEE,Power Systems,Control Systems,Electrical Machines,28,6,24
2300031236,Karthik Sharma,Venkatesh,Anitha,Rajasthan,KL University,9.6,5.33,7.59,37,ECE,Embedded Systems,Processors and Controllers,Digital Signals,18,11,23
2300031237,Ananya Gupta,Srinivas,Radha,Kerala,KL University,5.88,7.57,6.58,10,AIDS,AIML,NLP,Data Communication,22,5,25
2300031238,Swathi Patel,Ashok,Rekha,Delhi,KL University,7.97,8.78,8.45,2,AIDS,AIML,NLP,Data Communication,17,13,25
2300031239,Pooja Mehta,Prakash,Radha,Kerala,KL University,6.94,8.78,6.92,51,AIDS,AIML,NLP,Data Communication,30,13,10
2300031240,Pooja Sharma,Rajesh,Anitha,Rajasthan,KL University,8.43,5.85,8.17,60,CSE,Operating Systems,DBMS,Java,30,25,17
2300031241,Sanjith Rao,Srinivas,Radha,Gujarat,KL University,6.3,6.73,5.26,8,EEE,Power Systems,Control Systems,Electrical Machines,12,5,25
2300031242,Priya Naidu,Krishna,Geetha,Rajasthan,KL University,8.94,7.43,5.73,89,EEE,Power Systems,Control Systems,Electrical Machines,23,6,13
2300031243,Varun Singh,Anil,Rekha,Andhra Pradesh,KL University,6.35,9.32,6.38,94,EEE,Power Systems,Control Systems,Electrical Machines,7,24,24
2300031244,Vijay Reddy,Srinivas,Sarita,Andhra Pradesh,KL University,8.06,9.42,8.76,78,CSIT,Cloud Computing,Web Technologies,Cyber Security,29,10,30
2300031245,Rahul Mehta,Ramesh,Geetha,Delhi,KL University,7.61,6.18,5.19,27,AIDS,AIML,NLP,Data Communication,21,20,11
2300031246,Aarav Iyer,Mohan,Lakshmi,Kerala,KL University,6.63,5.25,9.42,91,EEE,Power Systems,Control Systems,Electrical Machines,27,6,25
2300031247,Ananya Reddy,Rajesh,Anitha,Karnataka,KL University,6.13,5.9,6.55,29,CSE,Operating Systems,DBMS,Java,28,24,8
2300031248,Ravi Iyer,Suresh,Kavitha,Kerala,KL University,7.51,6.27,8.27,40,EEE,Power Systems,Control Systems,Electrical Machines,19,15,24
2300031249,Nikhil Singh,Mohan,Sita,Rajasthan,KL University,9.6,6.08,8.41,74,CSIT,Cloud Computing,Web Technologies,Cyber Security,13,15,27
2300031250,Ravi Naidu,Venkatesh,Kavitha,Gujarat,KL University,8.84,8.35,6.88,3,CSE,Operating Systems,DBMS,Java,26,10,5
2300031251,Vijay Sharma,Mohan,Sunitha,Delhi,KL University,6.66,9.47,8.59,9,EEE,Power Systems,Control Systems,Electrical Machines,8,24,21
2300031252,Swathi Patel,Krishna,Kavitha,Telangana,KL University,6.88,9.12,5.11,80,CSE,Operating Systems,DBMS,Java,25,30,18
2300031253,Suresh Reddy,Srinivas,Sunitha,Tamil Nadu,KL University,7.53,5.79,7.97,68,EEE,Power Systems,Control Systems,Electrical Machines,6,21,18
2300031254,Rahul Singh,Krishna,Sunitha,Kerala,KL University,8.76,5.04,6.37,48,ECE,Embedded Systems,Processors and Controllers,Digital Signals,16,7,29
2300031255,Varun Naidu,Anil,Radha,Maharashtra,KL University,6.65,8.41,5.9,62,ECE,Embedded Systems,Processors and Controllers,Digital Signals,29,12,9
2300031256,Ravi Naidu,Krishna,Geetha,Rajasthan,KL University,7.34,6.25,8.27,30,CSE,Operating Systems,DBMS,Java,17,12,13
2300031257,Priya Reddy,Ashok,Lakshmi,Maharashtra,KL University,8.15,6.55,5.58,96,ECE,Embedded Systems,Processors and Controllers,Digital Signals,14,17,30
2300031258,Priya Mehta,Ashok,Sita,Maharashtra,KL University,7.23,9.0,7.0,91,CSE,Operating Systems,DBMS,Java,9,21,21
2300031259,Mahesh Rao,Mohan,Lakshmi,Kerala,KL University,7.53,7.9,6.9,14,ECE,Embedded Systems,Processors and Controllers,Digital Signals,16,25,21
2300031260,Mahesh Patel,Ramesh,Sunitha,Karnataka,KL University,9.09,7.95,8.72,37,ECE,Embedded Systems,Processors and Controllers,Digital Signals,11,23,7
2300031261,Deepika Patel,Anil,Sita,Telangana,KL University,7.44,8.68,8.37,100,AIDS,AIML,NLP,Data Communication,27,28,24
2300031262,Sneha Naidu,Prakash,Sita,Maharashtra,KL University,6.26,7.6,7.84,39,AIDS,AIML,NLP,Data Communication,20,7,14
2300031263,Priya Naidu,Prakash,Radha,Kerala,KL University,8.09,7.95,5.0,77,CSIT,Cloud Computing,Web Technologies,Cyber Security,8,17,7
2300031264,Ananya Reddy,Mohan,Sita,Tamil Nadu,KL University,7.37,6.68,5.23,58,AIDS,AIML,NLP,Data Communication,17,28,19
2300031265,Ravi Singh,Mohan,Lakshmi,West Bengal,KL University,6.95,8.98,5.02,81,CSIT,Cloud Computing,Web Technologies,Cyber Security,21,20,9
2300031266,Swathi Gupta,Ramesh,Anitha,Maharashtra,KL University,5.6,6.46,6.09,75,CSE,Operating Systems,DBMS,Java,16,15,13
2300031267,Swathi Mehta,Mohan,Anitha,Gujarat,KL University,7.76,5.25,7.57,69,ECE,Embedded Systems,Processors and Controllers,Digital Signals,9,29,5
2300031268,Swathi Patel,Krishna,Radha,Rajasthan,KL University,8.75,8.7,9.39,70,AIDS,AIML,NLP,Data Communication,8,8,10
2300031269,Rohit Iyer,Mohan,Sarita,Delhi,KL University,6.07,6.55,5.87,96,AIDS,AIML,NLP,Data Communication,27,22,23
2300031270,Akhil Mehta,Krishna,Radha,Delhi,KL University,6.66,9.16,5.38,77,EEE,Power Systems,Control Systems,Electrical Machines,20,7,22
2300031271,Priya Iyer,Rajesh,Sita,Kerala,KL University,9.61,8.82,6.99,66,CSIT,Cloud Computing,Web Technologies,Cyber Security,8,10,29
2300031272,Kiran Sharma,Ashok,Lakshmi,Tamil Nadu,KL University,8.87,8.99,6.76,34,CSE,Operating Systems,DBMS,Java,26,9,29
2300031273,Aarav Patel,Ashok,Sunitha,Andhra Pradesh,KL University,8.73,9.25,7.05,13,CSIT,Cloud Computing,Web Technologies,Cyber Security,28,30,26
2300031274,Vijay Patel,Ashok,Geetha,Gujarat,KL University,5.85,6.55,6.22,50,CSE,Operating Systems,DBMS,Java,15,19,5
2300031275,Rohit Rao,Srinivas,Sita,Maharashtra,KL University,8.16,8.69,9.31,75,AIDS,AIML,NLP,Data Communication,17,26,6
2300031276,Sneha Rao,Mohan,Anitha,Tamil Nadu,KL University,8.73,8.74,9.11,31,AIDS,AIML,NLP,Data Communication,22,10,30
2300031277,Varun Singh,Prakash,Padma,Karnataka,KL University,6.54,8.31,6.37,67,ECE,Embedded Systems,Processors and Controllers,Digital Signals,23,8,29
2300031278,Manoj Naidu,Prakash,Lakshmi,Gujarat,KL University,7.57,6.09,5.0,58,CSE,Operating Systems,DBMS,Java,17,30,24
2300031279,Manoj Verma,Prakash,Sita,Karnataka,KL University,8.75,5.27,8.85,59,EEE,Power Systems,Control Systems,Electrical Machines,30,7,17
2300031280,Ravi Patel,Srinivas,Anitha,Andhra Pradesh,KL University,9.73,7.16,8.41,4,CSIT,Cloud Computing,Web Technologies,Cyber Security,8,30,27
2300031281,Swathi Patel,Suresh,Kavitha,Andhra Pradesh,KL University,7.56,5.64,8.12,15,CSIT,Cloud Computing,Web Technologies,Cyber Security,26,13,24
2300031282,Kiran Patel,Anil,Sunitha,Rajasthan,KL University,5.98,7.25,9.39,75,EEE,Power Systems,Control Systems,Electrical Machines,30,16,27
2300031283,Pooja Patel,Prakash,Radha,Andhra Pradesh,KL University,9.42,9.37,6.74,86,CSE,Operating Systems,DBMS,Java,14,11,26
2300031284,Priya Sharma,Mohan,Geetha,Andhra Pradesh,KL University,8.89,5.29,8.1,99,AIDS,AIML,NLP,Data Communication,25,19,9
2300031285,Akhil Patel,Ramesh,Rekha,Kerala,KL University,9.3,6.13,5.14,49,AIDS,AIML,NLP,Data Communication,15,27,11
2300031286,Rahul Reddy,Srinivas,Padma,Rajasthan,KL University,6.97,6.32,5.86,10,AIDS,AIML,NLP,Data Communication,6,25,10
2300031287,Akhil Patel,Krishna,Sunitha,Tamil Nadu,KL University,6.31,6.42,8.78,35,ECE,Embedded Systems,Processors and Controllers,Digital Signals,14,26,27
2300031288,Varun Mehta,Anil,Radha,West Bengal,KL University,7.74,8.79,8.37,64,CSE,Operating Systems,DBMS,Java,27,30,17
2300031289,Deepika Naidu,Srinivas,Radha,Rajasthan,KL University,7.97,7.21,7.72,55,EEE,Power Systems,Control Systems,Electrical Machines,13,8,21
2300031290,Akhil Gupta,Venkatesh,Sunitha,Gujarat,KL University,7.89,9.18,6.54,0,CSE,Operating Systems,DBMS,Java,23,15,19
2300031291,Manoj Gupta,Krishna,Geetha,Kerala,KL University,8.01,8.31,9.45,25,CSIT,Cloud Computing,Web Technologies,Cyber Security,10,25,28
2300031292,Sneha Singh,Ashok,Kavitha,Maharashtra,KL University,6.24,9.14,8.01,13,AIDS,AIML,NLP,Data Communication,27,6,21
2300031293,Deepika Iyer,Krishna,Radha,Tamil Nadu,KL University,7.17,6.27,5.74,22,EEE,Power Systems,Control Systems,Electrical Machines,8,26,20
2300031294,Swathi Rao,Mohan,Radha,Tamil Nadu,KL University,7.59,6.78,5.77,99,CSE,Operating Systems,DBMS,Java,15,16,5
2300031295,Deepika Reddy,Ramesh,Sunitha,Andhra Pradesh,KL University,8.22,8.27,7.46,75,CSE,Operating Systems,DBMS,Java,14,11,18
2300031296,Varun Mehta,Suresh,Padma,West Bengal,KL University,6.8,7.53,8.4,22,CSE,Operating Systems,DBMS,Java,8,6,7
2300031297,Aarav Mehta,Rajesh,Anitha,Maharashtra,KL University,5.63,6.25,9.34,56,CSIT,Cloud Computing,Web Technologies,Cyber Security,18,21,7
2300031298,Rahul Iyer,Rajesh,Sarita,Rajasthan,KL University,8.16,6.34,5.99,20,ECE,Embedded Systems,Processors and Controllers,Digital Signals,14,25,14
2300031299,Sneha Mehta,Mohan,Lakshmi,West Bengal,KL University,9.18,9.2,5.8,31,AIDS,AIML,NLP,Data Communication,9,18,20
2300031300,Rahul Patel,Suresh,Rekha,Andhra Pradesh,KL University,8.4,8.86,9.27,12,EEE,Power Systems,Control Systems,Electrical Machines,21,8,19
2300031301,Aarav Singh,Anil,Padma,Gujarat,KL University,9.69,8.62,5.97,57,ECE,Embedded Systems,Processors and Controllers,Digital Signals,27,19,14
2300031302,Aarav Naidu,Ashok,Radha,Tamil Nadu,KL University,5.89,5.36,5.64,19,CSE,Operating Systems,DBMS,Java,20,18,23
2300031303,Mahesh Naidu,Ashok,Sarita,Tamil Nadu,KL University,6.54,5.28,5.86,8,CSIT,Cloud Computing,Web Technologies,Cyber Security,6,18,13
2300031304,Nikhil Verma,Prakash,Geetha,Rajasthan,KL University,8.66,5.63,5.75,100,CSIT,Cloud Computing,Web Technologies,Cyber Security,18,18,7
2300031305,Aarav Reddy,Suresh,Sunitha,Karnataka,KL University,9.34,5.51,5.14,32,EEE,Power Systems,Control Systems,Electrical Machines,20,23,21
2300031306,Manoj Gupta,Anil,Geetha,Tamil Nadu,KL University,8.69,7.69,7.18,86,CSIT,Cloud Computing,Web Technologies,Cyber Security,28,10,16
2300031307,Mahesh Reddy,Anil,Radha,Gujarat,KL University,6.69,7.68,8.3,24,ECE,Embedded Systems,Processors and Controllers,Digital Signals,9,7,21
2300031308,Ananya Sharma,Anil,Sita,Rajasthan,KL University,8.78,5.38,8.89,63,AIDS,AIML,NLP,Data Communication,21,9,7
2300031309,Varun Sharma,Rajesh,Lakshmi,Tamil Nadu,KL University,8.54,9.28,7.24,59,CSIT,Cloud Computing,Web Technologies,Cyber Security,26,25,15
2300031310,Varun Naidu,Ramesh,Sarita,West Bengal,KL University,9.55,8.17,5.3,32,ECE,Embedded Systems,Processors and Controllers,Digital Signals,27,30,7
2300031311,Mahesh Verma,Rajesh,Rekha,Andhra Pradesh,KL University,6.07,5.04,8.53,7,ECE,Embedded Systems,Processors and Controllers,Digital Signals,28,17,13
2300031312,Deepika Rao,Mohan,Sunitha,West Bengal,KL University,9.23,8.74,6.85,60,CSIT,Cloud Computing,Web Technologies,Cyber Security,6,18,13
2300031313,Pooja Patel,Prakash,Rekha,Delhi,KL University,8.88,8.98,5.72,57,EEE,Power Systems,Control Systems,Electrical Machines,29,16,24
2300031314,Akhil Patel,Krishna,Sunitha,Maharashtra,KL University,7.15,8.29,7.56,65,AIDS,AIML,NLP,Data Communication,14,22,11
2300031315,Ravi Reddy,Anil,Sunitha,Kerala,KL University,7.08,7.07,7.11,68,CSIT,Cloud Computing,Web Technologies,Cyber Security,26,24,8
2300031316,Sneha Patel,Anil,Sita,Telangana,KL University,6.17,6.45,8.71,51,ECE,Embedded Systems,Processors and Controllers,Digital Signals,15,17,6
2300031317,Vijay Sharma,Ashok,Radha,Karnataka,KL University,6.37,6.07,6.48,62,EEE,Power Systems,Control Systems,Electrical Machines,10,15,11
2300031318,Manoj Singh,Anil,Sita,West Bengal,KL University,7.52,9.22,8.15,52,CSIT,Cloud Computing,Web Technologies,Cyber Security,24,14,28
2300031319,Vijay Verma,Ashok,Geetha,Gujarat,KL University,6.71,9.34,8.34,62,EEE,Power Systems,Control Systems,Electrical Machines,17,21,12
2300031320,Kiran Patel,Venkatesh,Sunitha,Delhi,KL University,7.19,6.12,8.13,32,AIDS,AIML,NLP,Data Communication,14,21,14
2300031321,Swathi Gupta,Rajesh,Rekha,Rajasthan,KL University,9.77,7.37,6.75,38,AIDS,AIML,NLP,Data Communication,13,6,28
2300031322,Ananya Singh,Krishna,Rekha,Andhra Pradesh,KL University,9.53,6.4,8.99,83,CSE,Operating Systems,DBMS,Java,27,17,13
2300031323,Manoj Verma,Prakash,Sunitha,Andhra Pradesh,KL University,7.53,7.21,5.11,44,EEE,Power Systems,Control Systems,Electrical Machines,14,15,25
2300031324,Swathi Singh,Rajesh,Anitha,Andhra Pradesh,KL University,8.57,6.6,8.4,11,EEE,Power Systems,Control Systems,Electrical Machines,17,16,21
2300031325,Vijay Verma,Suresh,Lakshmi,Andhra Pradesh,KL University,8.94,6.17,9.2,10,CSE,Operating Systems,DBMS,Java,24,5,26
2300031326,Mahesh Singh,Prakash,Radha,Maharashtra,KL University,8.76,8.96,5.72,33,AIDS,AIML,NLP,Data Communication,16,6,5
2300031327,Ananya Gupta,Rajesh,Padma,Telangana,KL University,9.58,7.78,8.34,26,EEE,Power Systems,Control Systems,Electrical Machines,23,19,6
2300031328,Rohit Iyer,Srinivas,Rekha,Telangana,KL University,7.53,6.68,7.38,10,EEE,Power Systems,Control Systems,Electrical Machines,21,21,20
2300031329,Karthik Iyer,Krishna,Lakshmi,Karnataka,KL University,9.76,6.98,8.33,83,CSIT,Cloud Computing,Web Technologies,Cyber Security,6,22,16
2300031330,Ananya Iyer,Ramesh,Geetha,Delhi,KL University,7.56,6.97,9.14,34,CSE,Operating Systems,DBMS,Java,29,22,10
2300031331,Vijay Gupta,Mohan,Radha,Delhi,KL University,9.44,5.29,8.88,16,CSE,Operating Systems,DBMS,Java,28,20,30
2300031332,Sneha Sharma,Ramesh,Radha,Telangana,KL University,9.72,7.94,7.74,33,AIDS,AIML,NLP,Data Communication,19,25,8
2300031333,Sneha Singh,Rajesh,Anitha,Andhra Pradesh,KL University,8.54,5.55,8.86,71,CSIT,Cloud Computing,Web Technologies,Cyber Security,29,6,22
2300031334,Suresh Iyer,Rajesh,Anitha,Tamil Nadu,KL University,6.81,8.96,7.17,65,CSE,Operating Systems,DBMS,Java,21,27,13
2300031335,Sneha Singh,Rajesh,Kavitha,Telangana,KL University,8.01,8.18,6.89,91,EEE,Power Systems,Control Systems,Electrical Machines,10,14,13
2300031336,Pooja Singh,Rajesh,Anitha,Tamil Nadu,KL University,5.92,7.65,6.26,28,AIDS,AIML,NLP,Data Communication,5,9,12
2300031337,Sneha Patel,Anil,Anitha,Telangana,KL University,5.99,7.92,8.68,64,AIDS,AIML,NLP,Data Communication,7,17,12
2300031338,Mahesh Sharma,Ramesh,Sunitha,Telangana,KL University,7.56,7.01,6.27,80,EEE,Power Systems,Control Systems,Electrical Machines,20,10,26
2300031339,Deepika Patel,Anil,Kavitha,West Bengal,KL University,9.52,5.74,6.79,69,EEE,Power Systems,Control Systems,Electrical Machines,30,7,23
2300031340,Mahesh Naidu,Venkatesh,Radha,Tamil Nadu,KL University,6.69,7.86,7.01,75,CSIT,Cloud Computing,Web Technologies,Cyber Security,19,27,20
2300031341,Manoj Mehta,Krishna,Anitha,Tamil Nadu,KL University,5.99,8.22,5.43,22,ECE,Embedded Systems,Processors and Controllers,Digital Signals,25,25,16
2300031342,Ananya Patel,Ashok,Kavitha,Gujarat,KL University,6.92,8.66,8.74,63,CSE,Operating Systems,DBMS,Java,20,30,13
2300031343,Priya Rao,Ashok,Sita,Karnataka,KL University,6.07,7.64,5.04,46,ECE,Embedded Systems,Processors and Controllers,Digital Signals,15,16,27
2300031344,Kiran Gupta,Srinivas,Radha,Maharashtra,KL University,8.26,5.63,5.03,44,ECE,Embedded Systems,Processors and Controllers,Digital Signals,11,19,27
2300031345,Mahesh Gupta,Anil,Geetha,Telangana,KL University,9.55,6.83,8.13,55,EEE,Power Systems,Control Systems,Electrical Machines,7,5,5
2300031346,Priya Sharma,Mohan,Sarita,West Bengal,KL University,7.51,8.08,7.82,73,AIDS,AIML,NLP,Data Communication,7,22,5
2300031347,Varun Singh,Ashok,Rekha,Delhi,KL University,6.99,9.01,5.33,34,AIDS,AIML,NLP,Data Communication,5,18,24
2300031348,Varun Gupta,Anil,Lakshmi,Telangana,KL University,7.95,9.17,7.17,30,CSIT,Cloud Computing,Web Technologies,Cyber Security,6,30,7
2300031349,Sneha Singh,Ashok,Sita,West Bengal,KL University,7.17,6.04,8.49,51,CSIT,Cloud Computing,Web Technologies,Cyber Security,18,30,7
2300031350,Rohit Iyer,Ashok,Rekha,Rajasthan,KL University,9.02,8.7,8.6,72,CSE,Operating Systems,DBMS,Java,11,30,5
2300031351,Kiran Verma,Mohan,Sunitha,Telangana,KL University,9.31,7.76,6.07,65,CSE,Operating Systems,DBMS,Java,20,28,19
2300031352,Ananya Mehta,Venkatesh,Sunitha,Andhra Pradesh,KL University,8.06,7.66,6.14,86,CSIT,Cloud Computing,Web Technologies,Cyber Security,26,15,11
2300031353,Karthik Naidu,Venkatesh,Anitha,Maharashtra,KL University,8.64,9.14,7.87,30,AIDS,AIML,NLP,Data Communication,12,22,27
